"Pair","Pre","Crisis","Delta"
"cocoa_sugar",0.11,0.048,-0.062
"cocoa_coffee",0.122,0.111,-0.011
"cocoa_hrshy",0.028,-0.169,-0.197
"cocoa_ghs",0.043,-0.025,-0.068
"cocoa_london",0.593,0.758,0.165
"cocoa_robusta",0.099,0.098,-0.001
